asin,product_title,product_price,product_original_price,product_star_rating,product_num_ratings,is_amazon_choice,is_best_seller,sales_volume,discount,brand,product_url,date,week,unit_price,sub_category_name,rank,product_photo
B006AU57W0,Vendetta Roach Gel Bait Insecticide - 4 Tubes x 30gms MGK1003,32.95,32.75,4.6,5898,TRUE,FALSE,3K+ bought in past month,,Valentino,https://www.amazon.com/dp/B006AU57W0,2025-09-25,39,N/A,Pest Control Baits & Lures,51,https://m.media-amazon.com/images/I/41IAgp8vNNL._AC_.jpg
B0D9PPG39W,"Roach Gel Bait Indoor and Outdoor: Cockroach Killer Repellents for German Cockroaches, Small Roaches – Cockroach Deterrent for Homes and Kitchens – Pet Safe Roach Control 4-Tubes",22.99,29.99,4.4,205,FALSE,FALSE,600+ bought in past month,23.34,Visismile,https://www.amazon.com/dp/B0D9PPG39W,2025-09-25,39,N/A,Pest Control Baits & Lures,126,https://m.media-amazon.com/images/I/71gh2V06ERL._SL1469_.jpg
B0DMVR83MW,Roach Killer Indoor Infestation for Home(4 PCS) - German Cockroach Killer with 99% Efficacy (97% USA) - Cockroach Gel Bait Syringes - Fipronil 0.05% - Get Fast Results,29.95,,4.2,90,FALSE,FALSE,700+ bought in past month,,KB Roach Bait Gel,https://www.amazon.com/dp/B0DMVR83MW,2025-09-25,39,N/A,Pest Control Baits & Lures,168,https://m.media-amazon.com/images/I/81NDjWm-KoL._SL1500_.jpg
B0148W0WOE,"Advion Cockroach Gel Bait, 4 Tubes x 30-Grams, 1 Plunger and 2 Tips, German Roach Insect Pest Control, Indoor and Outdoor Use, Roach Killer Gel for American, German and Other Major Cockroach Species",24.06,35,4.6,53692,TRUE,FALSE,60K+ bought in past month,31.26,Syngenta,https://www.amazon.com/dp/B0148W0WOE,2025-09-25,39,N/A,Pest Control Baits & Lures,2,https://m.media-amazon.com/images/I/71D+7sez6SL._AC_SL1500_.jpg
B00730QW70,"Advion Cockroach Gel Bait, 4 Tubes x 30-Grams, 4 Plunger and 4 Tips, German Roach Insect Pest Control, Indoor and Outdoor Use, Roach Killer Gel for American, German and Other Major Cockroach Species",26.7,35,4.6,66609,TRUE,FALSE,30K+ bought in past month,23.71,Advion,https://www.amazon.com/dp/B00730QW70,2025-09-29,40,N/A,Pest Control Baits & Lures,4,https://m.media-amazon.com/images/I/71sGQGrxynL._AC_SL1500_.jpg
B08C3PPYSV,"Advion Ant Gel Bait, 1 30-Gram Tube, 1 Plunger and 1 Tip, Effective Bait, Formulated with 0.05% Indoxacarb, Indoor and Outdoor Use, Killer Gel for Control of Most Major Ant Species",14.95,16.99,4.5,5947,TRUE,FALSE,10K+ bought in past month,12.01,Syngenta,https://www.amazon.com/dp/B08C3PPYSV,2025-09-29,40,N/A,Pest Control Baits & Lures,16,https://m.media-amazon.com/images/I/61Bn7VLcqKL._AC_SL1500_.jpg
B000QRAXSG,"Combat Max Roach Killing Gel for Indoor and Outdoor Use, 1 Syringe, 2.1 Ounce (Pack of 1)",9.28,,4.3,26588,TRUE,FALSE,10K+ bought in past month,,Combat,https://www.amazon.com/dp/B000QRAXSG,2025-09-29,40,$4.42,Pest Control Products,40,https://m.media-amazon.com/images/I/71fvTBX9NnL._AC_SL1500_.jpg
B07XRSC5WZ,"Advion Ant Gel Bait, 4 Tubes x 30-Grams, 1 Plunger and 2 Tips, Effective Ant Bait, Formulated with 0.05% Indoxacarb, Indoor and Outdoor Use, Ant Killer Gel for Control of Most Major Ant Species",39.54,,4.6,2998,TRUE,FALSE,1K+ bought in past month,,Syngenta,https://www.amazon.com/dp/B07XRSC5WZ,2025-09-29,40,N/A,Pest Control Baits & Lures,104,https://m.media-amazon.com/images/I/61rAtFhUXmL._AC_SL1440_.jpg
B09F7Q9VSS,"Terro T502 Ready-to-Use Indoor Cockroach Gel Bait Killer - Kills German, American, Oriental Roaches, 3 oz",15.98,,4.2,6082,TRUE,FALSE,3K+ bought in past month,,Terro,https://www.amazon.com/dp/B09F7Q9VSS,2025-09-29,40,N/A,Pest Control Baits & Lures,37,https://m.media-amazon.com/images/I/715xDed26+L._AC_SL1500_.jpg
B0BMNZBHG1,Atticus Savitri Ant Gel Bait (4 x 30 Grams) - Indoor and Outdoor Use - Indoxacarb Ant Killer,32.99,34.99,4.3,1640,FALSE,FALSE,2K+ bought in past month,5.72,Atticus,https://www.amazon.com/dp/B0BMNZBHG1,2025-09-29,40,N/A,Pest Control Baits & Lures,54,https://m.media-amazon.com/images/I/71aXNsd32jL._SL1500_.jpg
B006AU57W0,Vendetta Roach Gel Bait Insecticide - 4 Tubes x 30gms MGK1003,32.91,,4.6,5902,TRUE,FALSE,3K+ bought in past month,,Valentino,https://www.amazon.com/dp/B006AU57W0,2025-09-29,40,N/A,Pest Control Baits & Lures,52,https://m.media-amazon.com/images/I/41IAgp8vNNL._AC_.jpg
B0D9PPG39W,"Roach Gel Bait Indoor and Outdoor: Cockroach Killer Repellents for German Cockroaches, Small Roaches – Cockroach Deterrent for Homes and Kitchens – Pet Safe Roach Control 4-Tubes",22.99,29.99,4.4,206,FALSE,FALSE,600+ bought in past month,23.34,Visismile,https://www.amazon.com/dp/B0D9PPG39W,2025-09-29,40,N/A,Pest Control Baits & Lures,103,https://m.media-amazon.com/images/I/71gh2V06ERL._SL1469_.jpg
B0DMVR83MW,Roach Killer Indoor Infestation for Home(4 PCS) - German Cockroach Killer with 99% Efficacy (97% USA) - Cockroach Gel Bait Syringes - Fipronil 0.05% - Get Fast Results,29.95,,4.2,91,TRUE,FALSE,600+ bought in past month,,KB Roach Bait Gel,https://www.amazon.com/dp/B0DMVR83MW,2025-09-29,40,N/A,Pest Control Baits & Lures,170,https://m.media-amazon.com/images/I/81NDjWm-KoL._SL1500_.jpg
B0148W0WOE,"Advion Cockroach Gel Bait, 4 Tubes x 30-Grams, 1 Plunger and 2 Tips, German Roach Insect Pest Control, Indoor and Outdoor Use, Roach Killer Gel for American, German and Other Major Cockroach Species",26.89,35,4.6,53745,TRUE,FALSE,60K+ bought in past month,23.17,Syngenta,https://www.amazon.com/dp/B0148W0WOE,2025-09-29,40,N/A,Pest Control Baits & Lures,2,https://m.media-amazon.com/images/I/71D+7sez6SL._AC_SL1500_.jpg
B00730QW70,"Advion Cockroach Gel Bait, 4 Tubes x 30-Grams, 4 Plunger and 4 Tips, German Roach Insect Pest Control, Indoor and Outdoor Use, Roach Killer Gel for American, German and Other Major Cockroach Species",27.97,35.0,4.6,66755,True,False,20K+ bought in past month,20.09,Advion,https://www.amazon.com/dp/B00730QW70,2025-10-06,41,N/A,Pest Control Baits & Lures,4,https://m.media-amazon.com/images/I/71sGQGrxynL._AC_SL1500_.jpg
B08C3PPYSV,"Advion Ant Gel Bait, 1 30-Gram Tube, 1 Plunger and 1 Tip, Effective Bait, Formulated with 0.05% Indoxacarb, Indoor and Outdoor Use, Killer Gel for Control of Most Major Ant Species",16.98,,4.5,5975,False,False,10K+ bought in past month,,Syngenta,https://www.amazon.com/dp/B08C3PPYSV,2025-10-06,41,N/A,Pest Control Baits & Lures,24,https://m.media-amazon.com/images/I/61Bn7VLcqKL._AC_SL1500_.jpg
B000QRAXSG,"Combat Max Roach Killing Gel for Indoor and Outdoor Use, 1 Syringe, 2.1 Ounce (Pack of 1)",8.84,9.99,4.3,26647,False,False,10K+ bought in past month,11.51,Combat,https://www.amazon.com/dp/B000QRAXSG,2025-10-06,41,$4.21,Pest Control Products,36,https://m.media-amazon.com/images/I/71fvTBX9NnL._AC_SL1500_.jpg
B07XRSC5WZ,"Advion Ant Gel Bait, 4 Tubes x 30-Grams, 1 Plunger and 2 Tips, Effective Ant Bait, Formulated with 0.05% Indoxacarb, Indoor and Outdoor Use, Ant Killer Gel for Control of Most Major Ant Species",39.68,,4.6,3005,True,False,1K+ bought in past month,,Syngenta,https://www.amazon.com/dp/B07XRSC5WZ,2025-10-06,41,N/A,Pest Control Baits & Lures,104,https://m.media-amazon.com/images/I/61rAtFhUXmL._AC_SL1440_.jpg
B09F7Q9VSS,"Terro T502 Ready-to-Use Indoor Cockroach Gel Bait Killer - Kills German, American, Oriental Roaches, 3 oz",15.98,19.99,4.2,6103,False,False,3K+ bought in past month,20.06,Terro,https://www.amazon.com/dp/B09F7Q9VSS,2025-10-06,41,N/A,Pest Control Baits & Lures,36,https://m.media-amazon.com/images/I/715xDed26+L._AC_SL1500_.jpg
B0BMNZBHG1,Atticus Savitri Ant Gel Bait (4 x 30 Grams) - Indoor and Outdoor Use - Indoxacarb Ant Killer,32.99,34.99,4.3,1658,False,False,2K+ bought in past month,5.72,Atticus,https://www.amazon.com/dp/B0BMNZBHG1,2025-10-06,41,N/A,Pest Control Baits & Lures,63,https://m.media-amazon.com/images/I/71aXNsd32jL._SL1500_.jpg
B006AU57W0,Vendetta Roach Gel Bait Insecticide - 4 Tubes x 30gms MGK1003,30.4,,4.6,5914,False,False,2K+ bought in past month,,Valentino,https://www.amazon.com/dp/B006AU57W0,2025-10-06,41,N/A,Pest Control Baits & Lures,52,https://m.media-amazon.com/images/I/41IAgp8vNNL._AC_.jpg
B0D9PPG39W,"Roach Gel Bait Indoor and Outdoor: Cockroach Killer Repellents for German Cockroaches, Small Roaches – Cockroach Deterrent for Homes and Kitchens – Pet Safe Roach Control 4-Tubes",22.99,29.99,4.3,212,True,False,700+ bought in past month,23.34,Visismile,https://www.amazon.com/dp/B0D9PPG39W,2025-10-06,41,N/A,Pest Control Baits & Lures,104,https://m.media-amazon.com/images/I/71gh2V06ERL._SL1469_.jpg
B0DMVR83MW,Roach Killer Indoor Infestation for Home(4 PCS) - German Cockroach Killer with 99% Efficacy (97% USA) - Cockroach Gel Bait Syringes - Fipronil 0.05% - Get Fast Results,,,4.1,95,False,False,,,KB Roach Bait Gel,https://www.amazon.com/dp/B0DMVR83MW,2025-10-06,41,N/A,Pest Control Baits & Lures,366,https://m.media-amazon.com/images/I/81NDjWm-KoL._SL1500_.jpg
B0148W0WOE,"Advion Cockroach Gel Bait, 4 Tubes x 30-Grams, 1 Plunger and 2 Tips, German Roach Insect Pest Control, Indoor and Outdoor Use, Roach Killer Gel for American, German and Other Major Cockroach Species",26.1,35.0,4.6,54050,True,False,60K+ bought in past month,25.43,Syngenta,https://www.amazon.com/dp/B0148W0WOE,2025-10-06,41,N/A,Pest Control Baits & Lures,2,https://m.media-amazon.com/images/I/71D+7sez6SL._AC_SL1500_.jpg
